業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/01,木,日祝,,曇,8.0,3.0,計,1633012,1400000,1.1664,1.1664,1463995,1.1154,641,244,2547.6,7.28,700,0.9157,628,1.0207,0,,0.0000,0.0000,0,226628,0.1388,0.1388,0.1388,0.1388,10253,9556.3,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/02,金,平日,,晴,7.0,3.0,計,1526596,1400000,1.0904,1.1284,1573463,0.9702,623,241,2450.4,7.08,700,0.8900,699,0.8913,0,80950,0.0530,0.0256,0,240217,0.1574,0.1478,0.2104,0.1734,10821,8464.6,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/03,土,土曜,,雨,8.0,3.0,計,1412167,1400000,1.0087,1.0885,1342627,1.0518,571,228,2473.1,6.49,700,0.8157,589,0.9694,0,244880,0.1734,0.0713,0,224160,0.1587,0.1511,0.3321,0.2224,10174,8328.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/04,日,日祝,,晴,9.0,4.0,計,555412,700000,0.7934,1.0464,941958,0.5896,256,106,2169.6,2.91,350,0.7314,459,0.5577,0,,0.0000,0.0635,0,144701,0.2605,0.1630,0.2605,0.2265,6573,5069.9,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/05,月,平日,,晴,12.0,8.0,計,327814,450000,0.7285,1.0196,505883,0.6480,166,74,1974.8,1.89,225,0.7378,248,0.6694,0,136754,0.4172,0.0848,0,108931,0.3323,0.1732,0.7495,0.2580,4848,4057.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/06,火,平日,,晴,9.0,4.0,計,277260,450000,0.6161,0.9883,318579,0.8703,139,51,1994.7,1.58,225,0.6178,153,0.9085,0,136458,0.4922,0.1045,0,84928,0.3063,0.1796,0.7985,0.2841,4012,4146.5,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/07,水,平日,,晴,11.0,3.0,計,282234,450000,0.6272,0.9623,341806,0.8257,134,54,2106.2,1.52,225,0.5956,148,0.9054,0,26410,0.0936,0.1040,0,101065,0.3581,0.1880,0.4517,0.2920,4461,3796.0,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/08,木,平日,,雨,8.0,4.0,計,379186,450000,0.8426,0.9543,435639,0.8704,155,58,2446.4,1.76,225,0.6889,177,0.8757,0,56267,0.1484,0.1066,0,99193,0.2616,0.1924,0.4100,0.2990,4630,4913.9,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/09,金,平日,,晴,8.0,3.0,計,677869,500000,1.3557,0.9822,593420,1.1423,247,75,2744.4,2.81,250,0.9880,240,1.0292,0,129323,0.1908,0.1147,0,139518,0.2058,0.1936,0.3966,0.3083,6168,6594.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/10,土,土曜,,晴,16.0,1.0,計,951682,800000,1.1896,1.0029,785769,1.2111,399,152,2385.2,4.53,400,0.9975,371,1.0755,0,200067,0.2102,0.1260,0,165566,0.1740,0.1913,0.3842,0.3173,7481,7632.8,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/11,日,日祝,,晴,13.0,1.0,計,928298,800000,1.1604,1.0172,851508,1.0902,420,176,2210.2,4.77,400,1.0500,425,0.9882,0,41250,0.0444,0.1176,0,158285,0.1705,0.1892,0.2149,0.3067,7375,7552.3,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/12,月,日祝,,晴,6.0,1.0,計,699517,800000,0.8744,1.0053,506867,1.3801,302,108,2316.3,3.43,400,0.7550,246,1.2276,0,70804,0.1012,0.1164,0,146275,0.2091,0.1906,0.3103,0.3070,6872,6107.5,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/13,火,平日,,曇,11.0,3.0,計,379760,450000,0.8439,0.9981,385175,0.9859,185,68,2052.8,2.10,225,0.8222,191,0.9686,0,222075,0.5848,0.1341,0,94482,0.2488,0.1928,0.8336,0.3269,4505,5057.8,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/14,水,平日,,晴,9.0,5.0,計,402727,450000,0.8949,0.9937,350871,1.1478,198,86,2034.0,2.25,225,0.8800,167,1.1856,0,59522,0.1478,0.1346,0,107300,0.2664,0.1956,0.4142,0.3303,5043,4791.5,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/15,木,平日,,曇,11.0,2.0,計,408039,450000,0.9068,0.9901,526584,0.7749,192,83,2125.2,2.18,225,0.8533,225,0.8533,0,92979,0.2279,0.1381,0,108800,0.2666,0.1983,0.4945,0.3365,5032,4865.3,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/16,金,平日,,晴,16.0,10.0,計,740182,500000,1.4804,1.0115,438354,1.6885,282,99,2624.8,3.20,250,1.1280,214,1.3178,0,133306,0.1801,0.1408,0,130484,0.1763,0.1969,0.3564,0.3377,6019,7378.5,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/17,土,土曜,,晴,15.0,5.0,計,944186,850000,1.1108,1.0184,857547,1.1010,381,154,2478.2,4.33,425,0.8965,355,1.0732,0,369446,0.3913,0.1597,0,180520,0.1912,0.1965,0.5825,0.3562,8380,6760.3,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/18,日,日祝,,晴,14.0,6.0,計,688849,650000,1.0598,1.0204,736510,0.9353,314,144,2193.8,3.57,325,0.9662,362,0.8674,0,,0.0000,0.1514,0,152898,0.2220,0.1978,0.2220,0.3492,7039,5871.7,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/19,月,平日,,晴,15.0,5.0,計,669146,550000,1.2166,1.0284,464766,1.4397,255,95,2624.1,2.90,275,0.9273,248,1.0282,0,147003,0.2197,0.1547,0,113340,0.1694,0.1964,0.3891,0.3511,5218,7694.3,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/20,火,平日,,曇,12.0,2.0,計,489874,400000,1.2247,1.0341,496377,0.9869,216,87,2267.9,2.45,200,1.0800,204,1.0588,0,139853,0.2855,0.1591,0,114907,0.2346,0.1977,0.5201,0.3569,5227,5623.2,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/21,水,平日,,曇,6.0,0.0,計,454553,400000,1.1364,1.0369,476277,0.9544,209,93,2174.9,2.38,200,1.0450,222,0.9414,0,74689,0.1643,0.1593,0,112390,0.2473,0.1993,0.4116,0.3585,5068,5381.4,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/22,木,平日,,晴,6.0,1.0,計,637775,400000,1.5944,1.0521,476634,1.3381,218,75,2925.6,2.48,200,1.0900,212,1.0283,0,114051,0.1788,0.1601,0,123753,0.1940,0.1990,0.3729,0.3591,5764,6638.9,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/23,金,平日,,晴,6.0,0.0,計,517048,400000,1.2926,1.0585,711938,0.7263,240,93,2154.4,2.73,200,1.2000,297,0.8081,0,73662,0.1425,0.1595,0,119810,0.2317,0.2001,0.3742,0.3596,5399,5746.0,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/24,土,土曜,,晴,8.0,3.0,計,971380,850000,1.1428,1.0630,872949,1.1128,406,147,2392.6,4.61,425,0.9553,394,1.0305,0,276254,0.2844,0.1667,0,153286,0.1578,0.1977,0.4422,0.3644,6979,8351.2,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/25,日,日祝,,曇,7.0,3.0,計,662711,750000,0.8836,1.0549,636520,1.0411,300,126,2209.0,3.41,375,0.8000,308,0.9740,0,10890,0.0164,0.1610,0,145610,0.2197,0.1985,0.2362,0.3595,6632,5995.6,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/01/26,月,平日,,晴,5.0,2.0,計,501591,400000,1.2540,1.0596,562513,0.8917,229,93,2190.4,2.60,200,1.1450,243,0.9424,0,129102,0.2574,0.1637,0,105890,0.2111,0.1989,0.4685,0.3625,4678,6433.4,,0.0000,
